Datum_formiranja;Datum_Primene;Vazi_za;Srednji_kurs
 09.11.2005.; 10.11.2005.;1; 86,0333
 10.11.2005.; 11.11.2005.;1; 85,8868
 11.11.2005.; 12.11.2005.;1; 85,9830
 11.11.2005.; 13.11.2005.;1; 85,9830
 11.11.2005.; 14.11.2005.;1; 85,9830
 14.11.2005.; 15.11.2005.;1; 86,2006
 15.11.2005.; 16.11.2005.;1; 85,9795
 16.11.2005.; 17.11.2005.;1; 86,1130
 17.11.2005.; 18.11.2005.;1; 86,0370
 18.11.2005.; 19.11.2005.;1; 86,0880
 18.11.2005.; 20.11.2005.;1; 86,0880
 18.11.2005.; 21.11.2005.;1; 86,0880
 21.11.2005.; 22.11.2005.;1; 86,3122
 22.11.2005.; 23.11.2005.;1; 86,4770
 23.11.2005.; 24.11.2005.;1; 86,3969
 24.11.2005.; 25.11.2005.;1; 86,2155
 25.11.2005.; 26.11.2005.;1; 86,2110
 25.11.2005.; 27.11.2005.;1; 86,2110
 25.11.2005.; 28.11.2005.;1; 86,2110
 28.11.2005.; 29.11.2005.;1; 86,2589
 29.11.2005.; 30.11.2005.;1; 86,3710
 30.11.2005.; 01.12.2005.;1; 86,1190
 01.12.2005.; 02.12.2005.;1; 85,7525
 02.12.2005.; 03.12.2005.;1; 85,7400
 02.12.2005.; 04.12.2005.;1; 85,7400
 02.12.2005.; 05.12.2005.;1; 85,7400
 05.12.2005.; 06.12.2005.;1; 85,9185
 06.12.2005.; 07.12.2005.;1; 86,0170
 07.12.2005.; 08.12.2005.;1; 86,0911
 08.12.2005.; 09.12.2005.;1; 86,1288
 09.12.2005.; 10.12.2005.;1; 86,2930
 09.12.2005.; 11.12.2005.;1; 86,2930
 09.12.2005.; 12.12.2005.;1; 86,2930
 12.12.2005.; 13.12.2005.;1; 86,3000
 13.12.2005.; 14.12.2005.;1; 86,3001
 14.12.2005.; 15.12.2005.;1; 86,3002
 15.12.2005.; 16.12.2005.;1; 86,0000
 16.12.2005.; 17.12.2005.;1; 85,8000
 16.12.2005.; 18.12.2005.;1; 85,8000
 16.12.2005.; 19.12.2005.;1; 85,8000
 19.12.2005.; 20.12.2005.;1; 85,5500
 20.12.2005.; 21.12.2005.;1; 85,6000
 21.12.2005.; 22.12.2005.;1; 86,3710
 22.12.2005.; 23.12.2005.;1; 86,0000
 23.12.2005.; 24.12.2005.;1; 85,7999
 23.12.2005.; 25.12.2005.;1; 85,7999
 23.12.2005.; 26.12.2005.;1; 85,7999
 26.12.2005.; 27.12.2005.;1; 85,7790
 27.12.2005.; 28.12.2005.;1; 85,6000
 28.12.2005.; 29.12.2005.;1; 85,3000
 29.12.2005.; 30.12.2005.;1; 85,2000
 30.12.2005.; 31.12.2005.;1; 85,5000
 30.12.2005.; 01.01.2006.;1; 85,5000
 30.12.2005.; 02.01.2006.;1; 85,5000
 30.12.2005.; 03.01.2006.;1; 85,5000
 30.12.2005.; 04.01.2006.;1; 85,5000
 04.01.2006.; 05.01.2006.;1; 86,0001
 05.01.2006.; 06.01.2006.;1; 86,7000
 06.01.2006.; 07.01.2006.;1; 86,9059
